contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,policy_family
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,abstain_rate,30,0.025,0.0,0.28879953672710956,0.08656523581484421,0.16666666666666666,-0.075,0.125,0.7946410717856429,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,closed_world_conflict,29,0.02420301724137932,0.0,0.7034586865792689,0.03440574081055436,0.41379310344827586,-0.2407324461206897,0.27279612068965486,0.9274145170965807,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mean_expected_stage,29,0.0675287356321839,0.0,0.5788961548268777,0.11665086228181763,0.41379310344827586,-0.14231321839080463,0.2729885057471264,0.5572885422915417,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mean_score_expert_agreement_prob,30,0.008333333333333344,5.551115123125783e-17,0.10225545540908583,0.08149524443458585,0.5,-0.02749999999999996,0.044166666666666646,0.6666666666666666,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mean_subset_size,29,-0.1810344827586207,0.0,0.5656630492408087,-0.32003943514003935,0.27586206896551724,-0.38505747126436785,0.011566091954022594,0.10477904419116177,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,mid_scale_mass,30,0.06203703703703705,0.10416666666666674,0.3254318391546461,0.19062989410681752,0.6333333333333333,-0.05324074074074074,0.17223379629629626,0.30813837232553487,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,singleton_rate,29,0.15804597701149425,0.16666666666666669,0.39924583392423346,0.39586130544692744,0.5517241379310345,0.014367816091954018,0.3045977011494253,0.041991601679664065,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,stage_entropy,30,-0.05777429554315368,-0.07528847625086144,0.24974771683513233,-0.2313306254619041,0.3333333333333333,-0.14330458597800175,0.033670166993310484,0.20555888822235552,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_4_1_bundle_5_random_l2__vs__v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_4_1_bundle_5_random_l2,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,tbm_conflict,30,0.18711939371033337,0.048750000000000016,0.5992878834474988,0.3122362371718569,0.6,-0.024320707776175007,0.3975907836280415,0.09498100379924015,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,abstain_rate,30,0.11666666666666667,0.0,0.12685406585123124,0.9196919774214262,0.4666666666666667,0.075,0.16666666666666666,0.0003999200159968006,c1_bundle_strategy
