experiment_tag,family_slug,abstain_mass,mass_stage_1,mass_stage_2,mass_stage_3,mass_stage_4,mass_stage_5,mass_stage_6,mass_stage_7,mass_stage_8,mass_stage_9,mid_scale_mass,stage_entropy
v3_a1_gpt_4_1_abstain_false,a1_abstain_toggle,0.0,0.38041666666666674,0.3637500000000001,0.2195833333333333,0.03625,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.8574445612529931
v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,0.20166666666666666,0.21444444444444438,0.31638888888888894,0.2338888888888889,0.03361111111111111,0.0,0.0,0.0,0.0,0.0,0.5502777777777779,0.82820396482488
v3_a1_gpt_5_2_abstain_false,a1_abstain_toggle,0.0,0.5508333333333333,0.36666666666666664,0.08166666666666667,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.4483333333333333,0.6541499245268051
v3_a1_gpt_5_2_abstain_true,a1_abstain_toggle,0.43833333333333335,0.11833333333333333,0.365,0.07583333333333334,0.0025,0.0,0.0,0.0,0.0,0.0,0.4408333333333333,0.5994328227329166
v3_a2_gpt_4_1_l3,a2_evidence_level_l3,0.20666666666666667,0.14569444444444443,0.32958333333333345,0.2795833333333334,0.03847222222222221,0.0,0.0,0.0,0.0,0.0,0.6091666666666669,0.813757911641989
v3_a2_gpt_5_2_l3,a2_evidence_level_l3,0.47833333333333333,0.10916666666666666,0.33916666666666667,0.07333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4125,0.5771649650052378
v3_a3_gpt_4_1_scale_5,a3_scale_size,0.105,0.2227777777777777,0.14513888888888885,0.38819444444444456,0.12930555555555553,0.009583333333333333,0.0,0.0,0.0,0.0,0.662638888888889,0.8021557818516456
v3_a3_gpt_5_2_scale_5,a3_scale_size,0.245,0.115,0.15666666666666668,0.47333333333333333,0.01,0.0,0.0,0.0,0.0,0.0,0.64,0.5835648485883486
v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,a4_model_swap,0.42333333333333334,0.13888888888888887,0.2613888888888889,0.17222222222222222,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.4336111111111111,0.6857598904935858
v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,0.16,0.21972222222222218,0.4122222222222222,0.19555555555555554,0.0125,0.0,0.0,0.0,0.0,0.0,0.6077777777777778,0.7734129322029968
v3_a5_gpt_4_1_illiberal_democracy,a5_concept_swap,0.06833333333333333,0.2525,0.32555555555555565,0.2736111111111111,0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.5991666666666667,0.9157822780253689
v3_a5_gpt_5_2_illiberal_democracy,a5_concept_swap,0.4,0.16083333333333333,0.39666666666666667,0.04083333333333333,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.4375,0.5784796713616952
v3_b1_gpt_4_1_mini_abstain_false,b1_small_model_family,0.0,0.5172222222222222,0.3638888888888889,0.11722222222222224,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.4811111111111111,0.7002858277293883
v3_b1_gpt_4_1_mini_abstain_true,b1_small_model_family,0.39,0.235,0.29,0.08416666666666667,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.37416666666666665,0.6589658765638484
v3_b1_gpt_5_2_chat_abstain_false,b1_small_model_family,0.0,0.395,0.4025,0.1975,0.005,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.779086026519329
v3_b1_gpt_5_2_chat_abstain_true,b1_small_model_family,0.37333333333333335,0.07916666666666666,0.29611111111111116,0.24611111111111114,0.005277777777777778,0.0,0.0,0.0,0.0,0.0,0.5422222222222223,0.6736482066429625
v3_1_c1_gpt_4_1_bundle_5_random_l2,c1_bundle_5_random_l2,0.05,0.15069444444444444,0.3131944444444446,0.41736111111111124,0.06875,0.0,0.0,0.0,0.0,0.0,0.7305555555555558,0.8638432532135634
v3_1_c1_gpt_5_2_bundle_5_random_l2,c1_bundle_5_random_l2,0.0,0.0736111111111111,0.7777777777777778,0.1486111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.9263888888888889,0.483902075160703
v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,c2_bundle_5_cluster_l2_v2,0.075,0.10277777777777779,0.3055555555555555,0.4680555555555556,0.04861111111111111,0.0,0.0,0.0,0.0,0.0,0.7736111111111111,0.7923574717168305
v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c2_bundle_5_cluster_l2_v2,0.11666666666666667,0.13055555555555556,0.5888888888888889,0.1638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.7527777777777778,0.6304840726725566
