contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,qvalue,is_significant_fdr_10,is_significant_fdr_05
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,abstain_rate,30,0.2016666666666667,0.175,0.15563182312051765,1.2957932550240752,0.9,0.14833333333333337,0.25833333333333336,0.0001999600079984003,0.0005998800239952009,True,True
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mean_expected_stage,30,0.1998407193511683,0.25,0.627477435076157,0.3184827185489365,0.7666666666666667,-0.0343548832685346,0.4125953130886856,0.09138172365526895,0.12184229820702525,False,False
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mean_subset_size,30,0.024368777650511413,0.05555555555555558,0.2951995535213541,0.08255018464568453,0.5666666666666667,-0.08289968392890215,0.12291241379592767,0.6442711457708459,0.7028412499318318,False,False
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mid_scale_mass,30,0.10317534031156322,0.11081871345029243,0.3229383735365741,0.3194892548125074,0.5333333333333333,-0.00935560374247166,0.21244115582392792,0.08878224355128975,0.12184229820702525,False,False
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,singleton_rate,30,-0.047105152902366526,-0.06349206349206352,0.2169468402434705,-0.21712762836048846,0.36666666666666664,-0.12218866796043655,0.02995730460987806,0.2435512897420516,0.2922615476904619,False,False
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,stage_entropy,30,-0.0059831659753260625,0.03469961444888797,0.22178257832429746,-0.0269776193447318,0.6,-0.09062975103759671,0.06874129345701507,0.8844231153769246,0.8844231153769245,False,False
a1_abstain_toggle:v3_a1_gpt_5_2_abstain_false__vs__v3_a1_gpt_5_2_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_5_2_abstain_false,v3_a1_gpt_5_2_abstain_true,abstain_rate,30,0.4383333333333333,0.45,0.17104311481739562,2.5627066824718128,1.0,0.37666666666666676,0.4966666666666667,0.0001999600079984003,0.0005998800239952009,True,True
a1_abstain_toggle:v3_a1_gpt_5_2_abstain_false__vs__v3_a1_gpt_5_2_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_5_2_abstain_false,v3_a1_gpt_5_2_abstain_true,mean_expected_stage,30,0.42555030016136824,0.41271929824561393,0.3151889606516772,1.350143416449328,0.9,0.3194526023601585,0.542167260562723,0.0001999600079984003,0.0005998800239952009,True,True
a1_abstain_toggle:v3_a1_gpt_5_2_abstain_false__vs__v3_a1_gpt_5_2_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_5_2_abstain_false,v3_a1_gpt_5_2_abstain_true,mean_subset_size,30,0.05522025145477153,0.03392857142857131,0.11843142210677565,0.46626351750624034,0.6,0.015441689534665501,0.09588392726840861,0.019396120775844832,0.03325049275859114,True,True
a1_abstain_toggle:v3_a1_gpt_5_2_abstain_false__vs__v3_a1_gpt_5_2_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_5_2_abstain_false,v3_a1_gpt_5_2_abstain_true,mid_scale_mass,30,0.3612268779838439,0.39444444444444443,0.22850374353957192,1.5808357114345795,0.9333333333333333,0.27912937322109155,0.4420937100896466,0.0001999600079984003,0.0005998800239952009,True,True
a1_abstain_toggle:v3_a1_gpt_5_2_abstain_false__vs__v3_a1_gpt_5_2_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_5_2_abstain_false,v3_a1_gpt_5_2_abstain_true,singleton_rate,30,-0.0552202514547716,-0.033928571428571475,0.11843142210677567,-0.4662635175062409,0.2,-0.099795855982969,-0.015797081569817684,0.016196760647870425,0.03239352129574085,True,True
