contrast_id,family,baseline_tag,variant_tag,baseline_label,variant_label,matched_items,flip_count,flip_rate,geometry_flip_rate,abstain_delta,singleton_rate_delta,mean_subset_size_delta,mean_expected_stage_delta
gpt41:fascism:baseline_vs_abstention,within_model,v4_native_fascism_baseline_source_gpt41,v4_native_fascism_abstention_source_gpt41,fascism baseline source,fascism abstention source,1440,1050,0.7291666666666666,0.4986111111111111,0.1451388888888889,-0.10804224207961,0.09504467912266445,-0.0004061738424046002
gpt41:fascism:source_vs_l2,within_model,v4_native_fascism_baseline_source_gpt41,v4_native_fascism_view_l2_neutralized_gpt41,fascism baseline source,fascism l2 neutralized,1440,862,0.5986111111111111,0.3368055555555556,0.0,0.02083333333333337,-0.021527777777777812,-0.08275462962962954
gpt41:illiberal_democracy:source_vs_l2,within_model,v4_native_illiberal_democracy_baseline_source_gpt41,v4_native_illiberal_democracy_view_l2_neutralized_gpt41,illiberal democracy baseline source,illiberal democracy l2 neutralized,1440,659,0.4576388888888889,0.24861111111111112,0.0,-0.005555555555555536,0.000694444444444331,-0.06874999999999964
gpt41:baseline:fascism_vs_illiberal_democracy,within_model,v4_native_fascism_baseline_source_gpt41,v4_native_illiberal_democracy_baseline_source_gpt41,fascism baseline source,illiberal democracy baseline source,1440,794,0.5513888888888889,0.3055555555555556,0.0,0.06944444444444442,-0.05555555555555558,-0.028587962962963287
gpt41mini:fascism:baseline_vs_abstention,within_model,v4_native_fascism_baseline_source_gpt41mini,v4_native_fascism_abstention_source_gpt41mini,fascism baseline source,fascism abstention source,1440,1013,0.7034722222222223,0.35694444444444445,0.13402777777777777,-0.1098636728147554,0.11307137129109868,-0.01122694466720131
gpt41mini:fascism:source_vs_l2,within_model,v4_native_fascism_baseline_source_gpt41mini,v4_native_fascism_view_l2_neutralized_gpt41mini,fascism baseline source,fascism l2 neutralized,1440,807,0.5604166666666667,0.15208333333333332,0.0,0.022916666666666696,-0.025000000000000133,-0.009027777777777635
gpt41mini:illiberal_democracy:source_vs_l2,within_model,v4_native_illiberal_democracy_baseline_source_gpt41mini,v4_native_illiberal_democracy_view_l2_neutralized_gpt41mini,illiberal democracy baseline source,illiberal democracy l2 neutralized,1440,830,0.5763888888888888,0.12430555555555556,0.0,0.021527777777777812,-0.026388888888888795,-0.16238425925925903
gpt41mini:baseline:fascism_vs_illiberal_democracy,within_model,v4_native_fascism_baseline_source_gpt41mini,v4_native_illiberal_democracy_baseline_source_gpt41mini,fascism baseline source,illiberal democracy baseline source,1440,870,0.6041666666666666,0.1638888888888889,0.0,0.011805555555555514,-0.00972222222222241,0.1929398148148147
gpt52:fascism:baseline_vs_abstention,within_model,v4_native_fascism_baseline_source_gpt52,v4_native_fascism_abstention_source_gpt52,fascism baseline source,fascism abstention source,1440,922,0.6402777777777777,0.5333333333333333,0.4,0.04166666666666663,-0.04513888888888906,0.09201388888888884
gpt52:fascism:source_vs_l2,within_model,v4_native_fascism_baseline_source_gpt52,v4_native_fascism_view_l2_neutralized_gpt52,fascism baseline source,fascism l2 neutralized,1440,506,0.35138888888888886,0.1638888888888889,0.0,0.05625000000000002,-0.057638888888888795,0.04583333333333339
gpt52:illiberal_democracy:source_vs_l2,within_model,v4_native_illiberal_democracy_baseline_source_gpt52,v4_native_illiberal_democracy_view_l2_neutralized_gpt52,illiberal democracy baseline source,illiberal democracy l2 neutralized,1440,278,0.19305555555555556,0.06805555555555555,0.0,0.027083333333333348,-0.029166666666666785,0.04224537037037046
gpt52:baseline:fascism_vs_illiberal_democracy,within_model,v4_native_fascism_baseline_source_gpt52,v4_native_illiberal_democracy_baseline_source_gpt52,fascism baseline source,illiberal democracy baseline source,1440,384,0.26666666666666666,0.14166666666666666,0.0,0.06388888888888888,-0.06388888888888888,-0.07766203703703711
gpt52chat:fascism:baseline_vs_abstention,within_model,v4_native_fascism_baseline_source_gpt52chat,v4_native_fascism_abstention_source_gpt52chat,fascism baseline source,fascism abstention source,1440,1052,0.7305555555555555,0.6055555555555555,0.48055555555555557,-0.018716577540106916,0.025401069518716568,0.052807486631015976
gpt52chat:fascism:source_vs_l2,within_model,v4_native_fascism_baseline_source_gpt52chat,v4_native_fascism_view_l2_neutralized_gpt52chat,fascism baseline source,fascism l2 neutralized,1440,463,0.3215277777777778,0.14791666666666667,0.0,0.03888888888888886,-0.03819444444444442,-0.046527777777777724
gpt52chat:illiberal_democracy:source_vs_l2,within_model,v4_native_illiberal_democracy_baseline_source_gpt52chat,v4_native_illiberal_democracy_view_l2_neutralized_gpt52chat,illiberal democracy baseline source,illiberal democracy l2 neutralized,1440,258,0.17916666666666667,0.05277777777777778,0.0,0.019444444444444486,-0.028472222222222232,-0.04479166666666656
gpt52chat:baseline:fascism_vs_illiberal_democracy,within_model,v4_native_fascism_baseline_source_gpt52chat,v4_native_illiberal_democracy_baseline_source_gpt52chat,fascism baseline source,illiberal democracy baseline source,1440,439,0.30486111111111114,0.13333333333333333,0.0,0.0756944444444444,-0.06944444444444442,-0.1972222222222222
fascism_baseline_source:gpt41mini_vs_gpt41,cross_model,v4_native_fascism_baseline_source_gpt41,v4_native_fascism_baseline_source_gpt41mini,gpt41 anchor,gpt41mini,1440,844,0.5861111111111111,0.28888888888888886,0.0,0.14236111111111116,-0.18194444444444446,0.0732638888888888
fascism_abstention_source:gpt41mini_vs_gpt41,cross_model,v4_native_fascism_abstention_source_gpt41,v4_native_fascism_abstention_source_gpt41mini,gpt41 anchor,gpt41mini,1440,1058,0.7347222222222223,0.50625,-0.011111111111111127,0.17515638963360136,-0.20822162645218945,0.05540661304736383
fascism_view_l2_neutralized:gpt41mini_vs_gpt41,cross_model,v4_native_fascism_view_l2_neutralized_gpt41,v4_native_fascism_view_l2_neutralized_gpt41mini,gpt41 anchor,gpt41mini,1440,878,0.6097222222222223,0.25763888888888886,0.0,0.1444444444444445,-0.18541666666666679,0.1469907407407407
illiberal_democracy_baseline_source:gpt41mini_vs_gpt41,cross_model,v4_native_illiberal_democracy_baseline_source_gpt41,v4_native_illiberal_democracy_baseline_source_gpt41mini,gpt41 anchor,gpt41mini,1440,866,0.6013888888888889,0.20972222222222223,0.0,0.08472222222222225,-0.1361111111111113,0.2947916666666668
illiberal_democracy_view_l2_neutralized:gpt41mini_vs_gpt41,cross_model,v4_native_illiberal_democracy_view_l2_neutralized_gpt41,v4_native_illiberal_democracy_view_l2_neutralized_gpt41mini,gpt41 anchor,gpt41mini,1440,708,0.49166666666666664,0.21180555555555555,0.0,0.1118055555555556,-0.16319444444444442,0.2011574074074074
