experiment_tag,concept,condition,evidence_view,abstain_enabled,response_count,abstain_rate,singleton_rate,mean_subset_size,mean_expected_stage,mid_scale_mass,stage_entropy,mean_score_expert_agreement_prob,abstain_bucket_rate,singleton_bucket_rate,adjacent_subset_rate,broad_subset_rate,non_adjacent_subset_rate,mass_stage_1,mass_stage_2,mass_stage_3,mass_stage_4,model,condition_key
v4_native_fascism_abstention_source_gpt41,fascism,abstention_source,source_text,True,1440,0.1451388888888889,0.6141348497156783,1.4232331437855401,1.71161657189277,0.4760357432981314,0.7928428322812274,0.966513888888889,0.1451388888888889,0.525,0.28125,0.030555555555555555,0.018055555555555554,0.4959382615759545,0.3245329000812344,0.151502843216897,0.028025995125913892,gpt-4.1,abstention_source
v4_native_fascism_abstention_source_gpt41mini,fascism,abstention_source,source_text,True,1440,0.13402777777777777,0.781074578989575,1.2261427425821974,1.7606255012028869,0.52485966319166,0.8017067886828335,0.9381597222222222,0.13402777777777777,0.6763888888888889,0.17847222222222223,0.00625,0.004861111111111111,0.45308740978348033,0.35525260625501204,0.169607056936648,0.02205292702485966,gpt-4.1-mini,abstention_source
v4_native_fascism_abstention_source_gpt52,fascism,abstention_source,source_text,True,1440,0.4,0.8703703703703703,1.1296296296296295,1.4519675925925926,0.35416666666666663,0.6308330017104499,0.8188680555555556,0.4,0.5222222222222223,0.07152777777777777,0.0,0.00625,0.6371527777777778,0.2824074074074074,0.07175925925925926,0.008680555555555556,gpt-5.2,abstention_source
v4_native_fascism_abstention_source_gpt52chat,fascism,abstention_source,source_text,True,1440,0.48055555555555557,0.7754010695187166,1.2379679144385027,1.7720588235294117,0.47771836007130125,0.821521138559107,0.8601597222222223,0.48055555555555557,0.4027777777777778,0.10902777777777778,0.00625,0.001388888888888889,0.4889705882352941,0.28331105169340465,0.1944073083778966,0.033311051693404634,gpt-5.2-chat,abstention_source
v4_native_fascism_baseline_source_gpt41,fascism,baseline_source,source_text,False,1440,0.0,0.7583333333333333,1.2847222222222223,1.629513888888889,0.41226851851851865,0.7530889616232033,0.9504166666666666,0.0,0.7583333333333333,0.19166666666666668,0.03958333333333333,0.010416666666666666,0.5647569444444445,0.2639467592592593,0.1483217592592593,0.022974537037037033,gpt-4.1,baseline_source
v4_native_fascism_baseline_source_gpt41mini,fascism,baseline_source,source_text,False,1440,0.0,0.9006944444444445,1.1027777777777779,1.7027777777777777,0.46550925925925923,0.7917868741572347,0.9089583333333334,0.0,0.9006944444444445,0.0875,0.003472222222222222,0.008333333333333333,0.5023148148148149,0.32476851851851846,0.14074074074074078,0.03217592592592593,gpt-4.1-mini,baseline_source
v4_native_fascism_baseline_source_gpt52,fascism,baseline_source,source_text,False,1440,0.0,0.8784722222222222,1.1236111111111111,1.2850694444444444,0.22534722222222223,0.48827466510059414,0.742486111111111,0.0,0.8784722222222222,0.11319444444444444,0.0020833333333333333,0.00625,0.7677083333333333,0.18645833333333334,0.03888888888888889,0.006944444444444444,gpt-5.2,baseline_source
v4_native_fascism_baseline_source_gpt52chat,fascism,baseline_source,source_text,False,1440,0.0,0.8756944444444444,1.1277777777777778,1.4482638888888888,0.2866898148148148,0.6304120194857418,0.7311527777777779,0.0,0.8756944444444444,0.11875,0.003472222222222222,0.0020833333333333333,0.6947916666666667,0.1806712962962963,0.10601851851851853,0.018518518518518517,gpt-5.2-chat,baseline_source
v4_native_fascism_view_l2_neutralized_gpt41,fascism,view_l2_neutralized,l2_neutralized,False,1440,0.0,0.7791666666666667,1.2631944444444445,1.5467592592592594,0.4019675925925925,0.6969259004452963,0.8940555555555556,0.0,0.7791666666666667,0.1736111111111111,0.03819444444444445,0.009027777777777777,0.587152777777778,0.2898148148148147,0.11215277777777782,0.01087962962962963,gpt-4.1,view_l2_neutralized
v4_native_fascism_view_l2_neutralized_gpt41mini,fascism,view_l2_neutralized,l2_neutralized,False,1440,0.0,0.9236111111111112,1.0777777777777777,1.69375,0.5356481481481482,0.7457443439718631,0.9048472222222222,0.0,0.9236111111111112,0.07222222222222222,0.001388888888888889,0.002777777777777778,0.4519675925925926,0.41469907407407414,0.12094907407407408,0.012384259259259262,gpt-4.1-mini,view_l2_neutralized
