experimentTag,experiment.modelId,scaleSize,evidenceId,evidenceLabel,evidenceTitle,rubricId,rubric.qualityStats,rubric.stages,abstained,decodedScores,expertAgreementProb
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k572jg0nf4h2ym44z7885a10q980rb0j,E1,Why Fascists Always Come for the Socialists First,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,"[2, 3, 4]",0.98
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k57bmy54855mgvatcfje51x17n80rggf,E8,"As Trump Expands Imperial Aggression in Venezuela, Corporate Media Fall in Line",jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,"[2, 3]",0.9
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k577ar6sd8zrs3wtx5azjf6vy180s3cx,E6,"Colombia, Cuba and Mexico: Are these Trump's next targets?",jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,"[2, 3]",0.85
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k574de8fz4wnzs11ccpy0jqpad80stqj,E2,Being ‘American’,jh77fndcz87mtgpjcc7t7a606180tkkc,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""single or rare incident reported"", ""no evidence of coordination between institutions"", ""lack of repeated rhetoric/actions aligning with fascist features""], ""label"": ""Minimal Alignment Observed""}, {""criteria"": [""multiple but unrelated incidents reported"", ""infrequent alignment between institutions and fascist features"", ""coverage limited to regional/local levels"", ""no sustained shift in policy or rhetoric""], ""label"": ""Isolated Pattern Detected""}, {""criteria"": [""recurring incidents across multiple regions"", ""observable alignment between national leaders and institutions"", ""sustained pattern in rhetoric or policy over time"", ""evidence of inter-institutional cooperation""], ""label"": ""Coordinated Shift Evident""}, {""criteria"": [""routine, nationwide reporting of aligned behaviors"", ""formal adoption of policies featuring fascist characteristics"", ""high frequency of coordinated institutional actions"", ""explicit endorsements by senior leadership""], ""label"": ""Institutionalized Pattern Documented""}]",False,"[1, 2]",0.95
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k57a26ypts9ehmw0m5xa76f76n80say9,E7,Free the Maduros! Jail Trump!,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,[2],0.2
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k57e7way6hhvgfhh944qzqzptd80sb4h,E9,Critical Education in the Age of Trump’s Fascist Politics,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,"[2, 3, 4]",0.75
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k574wzan7ncyvd1ww0rjgffrtn80r6f4,E3,The most significant question for Trump’s America in 2026: What sticks?,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,"[2, 3, 4]",0.6
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k574de8fz4wnzs11ccpy0jqpad80stqj,E2,Being ‘American’,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,[2],0.4
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k574xvfx9vf33b2n0zdwvn1tg980r67r,E4,Surgical coup in the fascist backyard,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,"[2, 3]",0.8
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k57725xjq6zbvva7qkzyncrth580sr65,E5,Where’s the outrage?,jh70pe5dsvwe3s06t4ybhp6dbx80v2cn,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""Single-event reporting"", ""No recurring pattern"", ""No institutional alignment""], ""label"": ""Isolated Incidents""}, {""criteria"": [""Multiple related events"", ""Clear institutional involvement"", ""Occurring in multiple locations""], ""label"": ""Emerging Pattern""}, {""criteria"": [""Regularized actions"", ""High-level official alignment"", ""Broad policy implementation"", ""Frequent coverage in news""], ""label"": ""Institutional Coordination""}, {""criteria"": [""Systematic nationwide enforcement"", ""Publicized alignment across institutions"", ""Codified in legal/regulatory frameworks"", ""Persistent and longitudinal pattern in reporting""], ""label"": ""Nationwide Integration""}]",False,[2],0.8
ecc-fascism-usa-trial-gpt-4.1,gpt-4.1,4,k574xvfx9vf33b2n0zdwvn1tg980r67r,E4,Surgical coup in the fascist backyard,jh77fndcz87mtgpjcc7t7a606180tkkc,"{""discriminabilityScore"": 0.9, ""observabilityScore"": 0.95}","[{""criteria"": [""single or rare incident reported"", ""no evidence of coordination between institutions"", ""lack of repeated rhetoric/actions aligning with fascist features""], ""label"": ""Minimal Alignment Observed""}, {""criteria"": [""multiple but unrelated incidents reported"", ""infrequent alignment between institutions and fascist features"", ""coverage limited to regional/local levels"", ""no sustained shift in policy or rhetoric""], ""label"": ""Isolated Pattern Detected""}, {""criteria"": [""recurring incidents across multiple regions"", ""observable alignment between national leaders and institutions"", ""sustained pattern in rhetoric or policy over time"", ""evidence of inter-institutional cooperation""], ""label"": ""Coordinated Shift Evident""}, {""criteria"": [""routine, nationwide reporting of aligned behaviors"", ""formal adoption of policies featuring fascist characteristics"", ""high frequency of coordinated institutional actions"", ""explicit endorsements by senior leadership""], ""label"": ""Institutionalized Pattern Documented""}]",False,"[2, 3]",0.7
